1 2.3783 5.29335 0.464647
2 3.12293 5.29335 0.336545
3 3.64735 5.29335 0.216432
4 4.02213 5.29335 0.104222
5 4.29773 5.29335 -0.00190313
6 4.50433 5.29335 -0.102909
7 4.66127 5.29335 -0.199223
8 4.78168 5.29335 -0.291005
9 4.87485 5.29335 -0.3783
10 4.94752 5.29335 -0.461132
11 5.00465 5.29335 -0.539546
12 5.04993 5.29335 -0.613634
13 5.08612 5.29335 -0.683531
14 5.11529 5.29335 -0.749419
15 5.13901 5.29335 -0.811513
16 5.15847 5.29335 -0.87005
17 5.17458 5.29335 -0.925277
18 5.18802 5.29335 -0.977443
19 5.19934 5.29335 -1.02679
20 5.20894 5.29335 -1.07356
21 5.21714 5.29335 -1.11795
22 5.2242 5.29335 -1.16018
23 5.23032 5.29335 -1.20043
24 5.23566 5.29335 -1.23886
25 5.24034 5.29335 -1.27562
26 5.24447 5.29335 -1.31085
27 5.24813 5.29335 -1.34466
28 5.2514 5.29335 -1.37717
29 5.25431 5.29335 -1.40848
30 5.25694 5.29335 -1.43867
31 5.2593 5.29335 -1.46781
32 5.26144 5.29335 -1.49599
33 5.26338 5.29335 -1.52326
34 5.26515 5.29335 -1.54968
35 5.26677 5.29335 -1.5753
36 5.26825 5.29335 -1.60017
37 5.2696 5.29335 -1.62434
38 5.27086 5.29335 -1.64785
39 5.27201 5.29335 -1.67072
40 5.27308 5.29335 -1.693
41 5.27407 5.29335 -1.71471
42 5.27498 5.29335 -1.73589
43 5.27584 5.29335 -1.75655
44 5.27663 5.29335 -1.77673
45 5.27738 5.29335 -1.79644
46 5.27807 5.29335 -1.81572
47 5.27872 5.29335 -1.83457
48 5.27933 5.29335 -1.85301
49 5.2799 5.29335 -1.87107
