# x y
0 -0.276497
0.1 -0.151664
0.2 -0.0170221
0.3 0.123466
0.4 0.266291
0.5 0.408375
0.6 0.547039
0.7 0.679982
0.8 0.805257
0.9 0.921244
1 1.02663
1.1 1.12038
1.2 1.20173
1.3 1.27016
1.4 1.32535
1.5 1.36721
1.6 1.39581
1.7 1.41141
1.8 1.41439
1.9 1.40529
2 1.38475
2.1 1.3535
2.2 1.3124
2.3 1.26234
2.4 1.20428
2.5 1.13923
2.6 1.06825
2.7 0.992414
2.8 0.912796
2.9 0.830491
3 0.746583
3.1 0.66214
3.2 0.578209
3.3 0.495807
3.4 0.415912
3.5 0.339458
3.6 0.26733
3.7 0.200358
3.8 0.13931
3.9 0.0848905
4 0.0377348
4.1 -0.00159313
4.2 -0.0326041
4.3 -0.0548861
4.4 -0.0681057
4.5 -0.0720099
4.6 -0.0664264
4.7 -0.0512648
4.8 -0.0265158
4.9 0.00774886
5 0.0513774
5.1 0.104139
5.2 0.165728
5.3 0.235761
5.4 0.313784
5.5 0.399275
5.6 0.491646
5.7 0.590246
5.8 0.694367
5.9 0.80325
6 0.916084
6.1 1.03202
6.2 1.15016
6.3 1.2696
6.4 1.38938
6.5 1.50854
6.6 1.62611
6.7 1.7411
6.8 1.85255
6.9 1.95948
7 2.06094
7.1 2.15603
7.2 2.24386
7.3 2.32358
7.4 2.39442
7.5 2.45565
7.6 2.50663
7.7 2.54679
7.8 2.57567
7.9 2.59289
8 2.59821
8.1 2.59148
8.2 2.57272
8.3 2.54208
8.4 2.49987
8.5 2.44656
8.6 2.38282
8.7 2.30949
8.8 2.22763
8.9 2.13851
9 2.04363
9.1 1.94472
9.2 1.84377
9.3 1.74305
9.4 1.64507
9.5 1.55266
9.6 1.46895
9.7 1.39736
9.8 1.34168
9.9 1.306
10 1.29478
