# x y
0 0
0.1 0.119833
0.2 0.238669
0.3 0.35552
0.4 0.469418
0.5 0.579426
0.6 0.684642
0.7 0.784218
0.8 0.877356
0.9 0.963327
1 1.04147
1.1 1.11121
1.2 1.17204
1.3 1.22356
1.4 1.26545
1.5 1.29749
1.6 1.31957
1.7 1.33166
1.8 1.33385
1.9 1.3263
2 1.3093
2.1 1.28321
2.2 1.2485
2.3 1.20571
2.4 1.15546
2.5 1.09847
2.6 1.0355
2.7 0.96738
2.8 0.894988
2.9 0.819249
3 0.74112
3.1 0.661581
3.2 0.581626
3.3 0.502254
3.4 0.424459
3.5 0.349217
3.6 0.27748
3.7 0.210164
3.8 0.148142
3.9 0.0922338
4 0.0431975
4.1 0.00172289
4.2 -0.0315758
4.3 -0.0561659
4.4 -0.0716021
4.5 -0.0775301
4.6 -0.073691
4.7 -0.0599233
4.8 -0.0361646
4.9 -0.00245261
5 0.0410757
5.1 0.0941853
5.2 0.156545
5.3 0.227733
5.4 0.307236
5.5 0.39446
5.6 0.488733
5.7 0.589314
5.8 0.695398
5.9 0.806123
6 0.920585
6.1 1.03784
6.2 1.15691
6.3 1.27681
6.4 1.39655
6.5 1.51512
6.6 1.63154
6.7 1.74485
6.8 1.85411
6.9 1.95844
7 2.05699
7.1 2.14897
7.2 2.23367
7.3 2.31044
7.4 2.37871
7.5 2.438
7.6 2.48792
7.7 2.52817
7.8 2.55854
7.9 2.57894
8 2.58936
8.1 2.58989
8.2 2.58073
8.3 2.56217
8.4 2.5346
8.5 2.49849
8.6 2.4544
8.7 2.40297
8.8 2.34492
8.9 2.28102
9 2.21212
9.1 2.1391
9.2 2.06289
9.3 1.98445
9.4 1.90478
9.5 1.82485
9.6 1.74567
9.7 1.66824
9.8 1.59352
9.9 1.52246
10 1.45598
