0.500000 0.000000 0.500000 {0.000000,0.000000,-2.000000} {1.000000,0.000000,-2.000000} {0.000000,4.000000,-6.000000}
0.400000 0.020000 0.660000 {0.000000,-0.400000,-1.400000} {1.000000,-0.400000,-1.200000} {0.000000,4.000000,-6.000000}
0.300000 0.080000 0.740000 {0.000000,-0.800000,-0.800000} {1.000000,-0.800000,-0.400000} {0.000000,4.000000,-6.000000}
0.200000 0.180000 0.740000 {0.000000,-1.200000,-0.200000} {1.000000,-1.200000,0.400000} {0.000000,4.000000,-6.000000}
0.100000 0.320000 0.660000 {0.000000,-1.600000,0.400000} {1.000000,-1.600000,1.200000} {0.000000,4.000000,-6.000000}
0.000000 0.500000 0.500000 {0.000000,-2.000000,1.000000} {1.000000,-2.000000,2.000000} {0.000000,4.000000,-6.000000}
0.500000 0.020000 0.660000 {0.000000,-0.400000,-1.200000} {1.000000,-0.400000,-1.400000} {0.000000,4.000000,-6.000000}
0.420000 0.064800 0.746400 {0.000000,-0.720000,-0.720000} {1.000000,-0.720000,-0.760000} {0.000000,4.000000,-6.000000}
0.340000 0.135200 0.781600 {0.000000,-1.040000,-0.240000} {1.000000,-1.040000,-0.120000} {0.000000,4.000000,-6.000000}
0.260000 0.231200 0.765600 {0.000000,-1.360000,0.240000} {1.000000,-1.360000,0.520000} {0.000000,4.000000,-6.000000}
0.180000 0.352800 0.698400 {0.000000,-1.680000,0.720000} {1.000000,-1.680000,1.160000} {0.000000,4.000000,-6.000000}
0.100000 0.500000 0.580000 {0.000000,-2.000000,1.200000} {1.000000,-2.000000,1.800000} {0.000000,4.000000,-6.000000}
0.500000 0.080000 0.740000 {0.000000,-0.800000,-0.400000} {1.000000,-0.800000,-0.800000} {0.000000,4.000000,-6.000000}
0.440000 0.135200 0.773600 {0.000000,-1.040000,-0.040000} {1.000000,-1.040000,-0.320000} {0.000000,4.000000,-6.000000}
0.380000 0.204800 0.778400 {0.000000,-1.280000,0.320000} {1.000000,-1.280000,0.160000} {0.000000,4.000000,-6.000000}
0.320000 0.288800 0.754400 {0.000000,-1.520000,0.680000} {1.000000,-1.520000,0.640000} {0.000000,4.000000,-6.000000}
0.260000 0.387200 0.701600 {0.000000,-1.760000,1.040000} {1.000000,-1.760000,1.120000} {0.000000,4.000000,-6.000000}
0.200000 0.500000 0.620000 {0.000000,-2.000000,1.400000} {1.000000,-2.000000,1.600000} {0.000000,4.000000,-6.000000}
0.500000 0.180000 0.740000 {0.000000,-1.200000,0.400000} {1.000000,-1.200000,-0.200000} {0.000000,4.000000,-6.000000}
0.460000 0.231200 0.741600 {0.000000,-1.360000,0.640000} {1.000000,-1.360000,0.120000} {0.000000,4.000000,-6.000000}
0.420000 0.288800 0.730400 {0.000000,-1.520000,0.880000} {1.000000,-1.520000,0.440000} {0.000000,4.000000,-6.000000}
0.380000 0.352800 0.706400 {0.000000,-1.680000,1.120000} {1.000000,-1.680000,0.760000} {0.000000,4.000000,-6.000000}
0.340000 0.423200 0.669600 {0.000000,-1.840000,1.360000} {1.000000,-1.840000,1.080000} {0.000000,4.000000,-6.000000}
0.300000 0.500000 0.620000 {0.000000,-2.000000,1.600000} {1.000000,-2.000000,1.400000} {0.000000,4.000000,-6.000000}
0.500000 0.320000 0.660000 {0.000000,-1.600000,1.200000} {1.000000,-1.600000,0.400000} {0.000000,4.000000,-6.000000}
0.480000 0.352800 0.650400 {0.000000,-1.680000,1.320000} {1.000000,-1.680000,0.560000} {0.000000,4.000000,-6.000000}
0.460000 0.387200 0.637600 {0.000000,-1.760000,1.440000} {1.000000,-1.760000,0.720000} {0.000000,4.000000,-6.000000}
0.440000 0.423200 0.621600 {0.000000,-1.840000,1.560000} {1.000000,-1.840000,0.880000} {0.000000,4.000000,-6.000000}
0.420000 0.460800 0.602400 {0.000000,-1.920000,1.680000} {1.000000,-1.920000,1.040000} {0.000000,4.000000,-6.000000}
0.400000 0.500000 0.580000 {0.000000,-2.000000,1.800000} {1.000000,-2.000000,1.200000} {0.000000,4.000000,-6.000000}
0.500000 0.500000 0.500000 {0.000000,-2.000000,2.000000} {1.000000,-2.000000,1.000000} {0.000000,4.000000,-6.000000}
0.500000 0.500000 0.500000 {0.000000,-2.000000,2.000000} {1.000000,-2.000000,1.000000} {0.000000,4.000000,-6.000000}
0.500000 0.500000 0.500000 {0.000000,-2.000000,2.000000} {1.000000,-2.000000,1.000000} {0.000000,4.000000,-6.000000}
0.500000 0.500000 0.500000 {0.000000,-2.000000,2.000000} {1.000000,-2.000000,1.000000} {0.000000,4.000000,-6.000000}
0.500000 0.500000 0.500000 {0.000000,-2.000000,2.000000} {1.000000,-2.000000,1.000000} {0.000000,4.000000,-6.000000}
0.500000 0.500000 0.500000 {0.000000,-2.000000,2.000000} {1.000000,-2.000000,1.000000} {0.000000,4.000000,-6.000000}
