# x y z
0 0.0234742 -0.165215
0.0333333 0.0165919 -0.237046
0.0666667 0.00862335 -0.223175
0.1 0.00314611 -0.0807808
0.133333 0.00448304 0.16694
0.166667 0.0137235 0.364992
0.2 0.026384 0.347224
0.233333 0.0341913 0.0941487
0.266667 0.0317814 -0.238051
0.3 0.019288 -0.484354
0.333333 0.00148409 -0.555743
0.366667 -0.0160481 -0.472928
0.4 -0.0286562 -0.265175
0.433333 -0.0326635 0.0382483
0.466667 -0.0254345 0.400127
0.5 -0.00610958 0.751093
0.533333 0.0236561 1.01368
0.566667 0.0598209 1.13147
0.6 0.0975139 1.10765
0.633333 0.132242 0.95526
0.666667 0.159465 0.643897
0.7 0.172297 0.0741485
0.733333 0.160939 -0.788268
0.766667 0.119608 -1.66305
0.8 0.0540099 -2.18316
0.833333 -0.0187277 -2.07892
0.866667 -0.0789804 -1.47028
0.9 -0.113557 -0.574553
0.933333 -0.116501 0.393078
0.966667 -0.0881631 1.29077
1 -0.0318029 2.06667
1.03333 0.0477262 2.66988
1.06667 0.142766 2.96321
1.1 0.239447 2.7321
1.13333 0.316908 1.79829
1.16667 0.35332 0.324527
1.2 0.336308 -1.35049
1.23333 0.264727 -2.89709
1.26667 0.148011 -4.00783
1.3 0.00576535 -4.3785
1.33333 -0.133623 -3.84483
1.36667 -0.242527 -2.58847
1.4 -0.30076 -0.84361
1.43333 -0.295973 1.14922
1.46667 -0.225159 3.04925
1.5 -0.098398 4.43552
1.53333 0.060221 4.90503
1.56667 0.218321 4.45815
1.6 0.351388 3.46734
1.63333 0.446718 2.20727
1.66667 0.494771 0.608092
1.7 0.481977 -1.46601
1.73333 0.392329 -3.92677
1.76667 0.223857 -6.05781
1.8 0.00131103 -7.03364
1.83333 -0.22578 -6.3373
1.86667 -0.408131 -4.46694
1.9 -0.518012 -2.07331
1.93333 -0.54314 0.610139
1.96667 -0.47461 3.5389
2 -0.305726 6.56018
2.03333 -0.0461036 8.78516
2.06667 0.25788 9.03285
2.1 0.53039 7.04014
2.13333 0.716796 4.10905
2.16667 0.809563 1.59308
2.2 0.825606 -0.711293
2.23333 0.748658 -4.22912
2.26667 0.525408 -9.12555
2.3 0.169045 -11.6012
2.33333 -0.211978 -10.8661
2.36667 -0.538964 -8.65531
2.4 -0.790286 -6.46221
2.43333 -0.967989 -4.10738
2.46667 -1.05359 -0.815706
2.5 -1.01139 3.41497
2.53333 -0.828497 7.41414
2.56667 -0.531259 10.2198
2.6 -0.156908 12.1496
2.63333 0.273915 13.5441
2.66667 0.724634 13.0123
2.7 1.10319 9.21999
2.73333 1.32001 3.69171
2.76667 1.35498 -1.39445
2.8 1.23655 -5.64719
2.83333 0.977663 -9.93812
2.86667 0.577395 -13.8941
2.9 0.0726098 -15.9606
2.93333 -0.4585 -15.5359
2.96667 -0.942264 -13.2344
3 -1.32709 -9.68375
3.03333 -1.57814 -5.25951
3.06667 -1.67142 -0.265961
3.1 -1.59225 5.05436
3.13333 -1.33317 10.4772
3.16667 -0.899108 15.415
3.2 -0.320396 19.0127
3.23333 0.345292 20.5579
3.26667 1.0245 19.796
3.3 1.63793 16.6243
3.33333 2.1114 11.5309
3.36667 2.39429 5.32469
3.4 2.46254 -1.24602
3.43333 2.31209 -7.73906
3.46667 1.95191 -13.7386
3.5 1.40906 -18.5795
3.53333 0.734171 -21.5471
3.56667 -0.00257729 -22.2966
3.6 -0.729124 -20.9629
3.63333 -1.37882 -17.7148
3.66667 -1.89243 -12.8915
3.7 -2.22813 -7.15675
3.73333 -2.36708 -1.18509
3.76667 -2.30699 4.80841
3.8 -2.04423 11.001
3.83333 -1.57652 16.87
3.86667 -0.942683 20.7024
3.9 -0.223927 22.0836
3.93333 0.512072 21.8911
3.96667 1.22745 20.9187
4 1.89404 18.8065
4.03333 2.45791 14.6043
4.06667 2.8424 8.1943
4.1 2.99406 0.872167
4.13333 2.90495 -6.10488
4.16667 2.59574 -12.3012
4.2 2.09577 -17.5122
4.23333 1.44224 -21.465
4.26667 0.681364 -23.944
4.3 -0.138766 -25.0495
