# t, x, y, z, qx, qy, qz
0.71, 0.0, 0.0, 0., 0., 0., -0.04339052131800955
0.72, 0.0, 0.0, 0., 0., 0., -0.04085045782530096
0.73, 0.0, 0.0, 0., 0., 0., -0.03807166403881053
0.74, 0.0, 0.0, 0., 0., 0., -0.035072618479680545
0.75, 0.0, 0.0, 0., 0., 0., -0.031872287688520844
0.76, 0.0, 0.0, 0., 0., 0., -0.028489991931212294
0.77, 0.0, 0.0, 0., 0., 0., -0.024945297146701056
0.78, 0.0, 0.0, 0., 0., 0., -0.021257927791115537
0.79, 0.0, 0.0, 0., 0., 0., -0.01744769565109819
0.8, 0.0, 0.0, 0., 0., 0., -0.013534440243566762
0.81, 0.0, 0.0, 0., 0., 0., -0.009537977026295432
0.8200000000000001, 0.0, 0.0, 0., 0., 0., -0.0054780502692313065
0.8300000000000001, 0.0, 0.0, 0., 0., 0., -0.0013742880502270389
0.84, 0.0, 0.0, 0., 0., 0., 0.002753842578513699
0.85, 0.0, 0.0, 0., 0., 0., 0.006887081667414652
0.86, 0.0, 0.0, 0., 0., 0., 0.01100642461444073
0.87, 0.0, 0.0, 0., 0., 0., 0.015093173066607733
0.88, 0.0, 0.0, 0., 0., 0., 0.019128988586667534
0.89, 0.0, 0.0, 0., 0., 0., 0.023095948870277206
0.9, 0.0, 0.0, 0., 0., 0., 0.026976606067054234
0.91, 0.0, 0.0, 0., 0., 0., 0.030754046276811758
0.92, 0.0, 0.0, 0., 0., 0., 0.034411950096142646
0.93, 0.0, 0.0, 0., 0., 0., 0.03793465208078728
0.9400000000000001, 0.0, 0.0, 0., 0., 0., 0.04130719933539522
0.9500000000000001, 0.0, 0.0, 0., 0., 0., 0.04451540753464388
0.96, 0.0, 0.0, 0., 0., 0., 0.04754591368536656
0.97, 0.0, 0.0, 0., 0., 0., 0.05038622475424942
0.98, 0.0, 0.0, 0., 0., 0., 0.053024761439635575
0.99, 0.0, 0.0, 0., 0., 0., 0.05545089650973482
1.0, 0.0, 0.0, 0., 0., 0., 0.05765498728897956
1.01, 0.0, 0.0, 0., 0., 0., 0.059628402041071706
1.02, 0.0, 0.0, 0., 0., 0., 0.06136354016341517
1.03, 0.0, 0.0, 0., 0., 0., 0.06285384626582298
1.04, 0.0, 0.0, 0., 0., 0., 0.06409381835032175
1.05, 0.0, 0.0, 0., 0., 0., 0.06507901043349151
1.06, 0.0, 0.0, 0., 0., 0., 0.06580603005439696
1.07, 0.0, 0.0, 0., 0., 0., 0.06627253118751261
1.08, 0.0, 0.0, 0., 0., 0., 0.06647720313020188
1.09, 0.0, 0.0, 0., 0., 0., 0.06641975595858207
1.1, 0.0, 0.0, 0., 0., 0., 0.06610090314533107
1.11, 0.0, 0.0, 0., 0., 0., 0.06552234191032401
1.12, 0.0, 0.0, 0., 0., 0., 0.06468673183267541
1.1300000000000001, 0.0, 0.0, 0., 0., 0., 0.06359767219392841
1.1400000000000001, 0.0, 0.0, 0., 0., 0., 0.062259678450081415
1.1500000000000001, 0.0, 0.0, 0., 0., 0., 0.060678158148212154
1.16, 0.0, 0.0, 0., 0., 0., 0.05885938651488854
1.17, 0.0, 0.0, 0., 0., 0., 0.05681048185142743
1.18, 0.0, 0.0, 0., 0., 0., 0.054539380778247035
1.19, 0.0, 0.0, 0., 0., 0., 0.052054813279708394
1.2, 0.0, 0.0, 0., 0., 0., 0.04936627741440953
1.21, 0.0, 0.0, 0., 0., 0., 0.046484013476155266
1.22, 0.0, 0.0, 0., 0., 0., 0.04341897731989653
1.23, 0.0, 0.0, 0., 0., 0., 0.04018281250682545
1.24, 0.0, 0.0, 0., 0., 0., 0.03678782087541248
1.25, 0.0, 0.0, 0., 0., 0., 0.03324693111227057
1.26, 0.0, 0.0, 0., 0., 0., 0.029573664879957218
1.27, 0.0, 0.0, 0., 0., 0., 0.025782100059630025
1.28, 0.0, 0.0, 0., 0., 0., 0.02188683068601094
1.29, 0.0, 0.0, 0., 0., 0., 0.017902923191172482
1.3, 0.0, 0.0, 0., 0., 0., 0.013845868632515806
1.31, 0.0, 0.0, 0., 0., 0., 0.009731530658609135
1.32, 0.0, 0.0, 0., 0., 0., 0.005576089063193942
1.33, 0.0, 0.0, 0., 0., 0., 0.0013959788906907995
1.34, 0.0, 0.0, 0., 0., 0., -0.0027921748169300975
1.35, 0.0, 0.0, 0., 0., 0., -0.0069716264057897975
1.36, 0.0, 0.0, 0., 0., 0., -0.011125582760819906
1.37, 0.0, 0.0, 0., 0., 0., -0.01523727971314083
1.3800000000000001, 0.0, 0.0, 0., 0., 0., -0.0192900610609361
1.3900000000000001, 0.0, 0.0, 0., 0., 0., -0.023267459438276794
1.4000000000000001, 0.0, 0.0, 0., 0., 0., -0.027153278196735898
1.41, 0.0, 0.0, 0., 0., 0., -0.03093167310953206
1.42, 0.0, 0.0, 0., 0., 0., -0.03458723361889524
1.43, 0.0, 0.0, 0., 0., 0., -0.03810506140268994
1.44, 0.0, 0.0, 0., 0., 0., -0.041470846456789084
1.45, 0.0, 0.0, 0., 0., 0., -0.04467093901281085
1.46, 0.0, 0.0, 0., 0., 0., -0.04769241665385315
1.47, 0.0, 0.0, 0., 0., 0., -0.050523145825405055
1.48, 0.0, 0.0, 0., 0., 0., -0.05315183710675949
1.49, 0.0, 0.0, 0., 0., 0., -0.05556809376019577
1.5, 0.0, 0.0, 0., 0., 0., -0.057762453238489296
1.51, 0.0, 0.0, 0., 0., 0., -0.059726421498723835
1.52, 0.0, 0.0, 0., 0., 0., -0.061452500134811266
1.53, 0.0, 0.0, 0., 0., 0., -0.0629342064959355
1.54, 0.0, 0.0, 0., 0., 0., -0.06416608709756616
1.55, 0.0, 0.0, 0., 0., 0., -0.06514372475107602
1.56, 0.0, 0.0, 0., 0., 0., -0.06586373993396683
1.57, 0.0, 0.0, 0., 0., 0., -0.06632378699321824
1.58, 0.0, 0.0, 0., 0., 0., -0.0665225458185667
1.59, 0.0, 0.0, 0., 0., 0., -0.06645970964102382
1.6, 0.0, 0.0, 0., 0., 0., -0.06613596960607658
1.61, 0.0, 0.0, 0., 0., 0., -0.06555299674299278
1.62, 0.0, 0.0, 0., 0., 0., -0.06471342190427054
1.6300000000000001, 0.0, 0.0, 0., 0., 0., -0.06362081418566806
1.6400000000000001, 0.0, 0.0, 0., 0., 0., -0.06227965826075105
1.6500000000000001, 0.0, 0.0, 0., 0., 0., -0.060695330977840786
1.6600000000000001, 0.0, 0.0, 0., 0., 0., -0.05887407747487809
1.67, 0.0, 0.0, 0., 0., 0., -0.05682298697211332
1.68, 0.0, 0.0, 0., 0., 0., -0.05454996830655049
1.69, 0.0, 0.0, 0., 0., 0., -0.052063725178361164
1.7, 0.0, 0.0, 0., 0., 0., -0.049373730990471376
1.71, 0.0, 0.0, 0., 0., 0., -0.04649020308047623
1.72, 0.0, 0.0, 0., 0., 0., -0.043424076071057464
1.73, 0.0, 0.0, 0., 0., 0., -0.04018697400314904
1.74, 0.0, 0.0, 0., 0., 0., -0.03679118086710269
1.75, 0.0, 0.0, 0., 0., 0., -0.033249609112798506
1.76, 0.0, 0.0, 0., 0., 0., -0.0295757657016614
1.77, 0.0, 0.0, 0., 0., 0., -0.02578371526329194
1.78, 0.0, 0.0, 0., 0., 0., -0.02188803993805763
1.79, 0.0, 0.0, 0., 0., 0., -0.017903795525278092
1.8, 0.0, 0.0, 0., 0., 0., -0.013846463614836501
1.81, 0.0, 0.0, 0., 0., 0., -0.009731899457800123
1.82, 0.0, 0.0, 0., 0., 0., -0.0055762754278086725
1.83, 0.0, 0.0, 0., 0., 0., -0.001396020037631838
1.84, 0.0, 0.0, 0., 0., 0., 0.002792247398483272
1.85, 0.0, 0.0, 0., 0., 0., 0.006971786230051235
1.86, 0.0, 0.0, 0., 0., 0., 0.011125807695446783
1.87, 0.0, 0.0, 0., 0., 0., 0.015237551398312633
1.8800000000000001, 0.0, 0.0, 0., 0., 0., 0.019290364392109956
1.8900000000000001, 0.0, 0.0, 0., 0., 0., 0.023267782107360843
1.9000000000000001, 0.0, 0.0, 0., 0., 0., 0.027153610286589764
1.9100000000000001, 0.0, 0.0, 0., 0., 0., 0.030932006736921275
1.92, 0.0, 0.0, 0., 0., 0., 0.03458756262129005
1.93, 0.0, 0.0, 0., 0., 0., 0.03810538106456633
1.94, 0.0, 0.0, 0., 0., 0., 0.04147115327139123
1.95, 0.0, 0.0, 0., 0., 0., 0.04467123047562482
1.96, 0.0, 0.0, 0., 0., 0., 0.0476926910843347
1.97, 0.0, 0.0, 0., 0., 0., 0.05052340221379125
1.98, 0.0, 0.0, 0., 0., 0., 0.0531520749830683
1.99, 0.0, 0.0, 0., 0., 0., 0.0555683130827808
2.0, 0.0, 0.0, 0., 0., 0., 0.05776265429976485
2.0100000000000002, 0.0, 0.0, 0., 0., 0., 0.0597266048459081
2.02, 0.0, 0.0, 0., 0., 0., 0.06145266650375231
2.0300000000000002, 0.0, 0.0, 0., 0., 0., 0.06293435675628778
2.04, 0.0, 0.0, 0., 0., 0., 0.06416622220776852
2.05, 0.0, 0.0, 0., 0., 0., 0.0651438457217557
2.06, 0.0, 0.0, 0., 0., 0., 0.06586384779854954
2.07, 0.0, 0.0, 0., 0., 0., 0.06632388278466707
2.08, 0.0, 0.0, 0., 0., 0., 0.06652263055130338
2.09, 0.0, 0.0, 0., 0., 0., 0.0664597842972027
2.1, 0.0, 0.0, 0., 0., 0., 0.06613603512548825
2.11, 0.0, 0.0, 0., 0., 0., 0.06555305401597007
2.12, 0.0, 0.0, 0., 0., 0., 0.0647134717670543
2.13, 0.0, 0.0, 0., 0., 0., 0.06362085741776737
2.14, 0.0, 0.0, 0., 0., 0., 0.062279695583899196
2.15, 0.0, 0.0, 0., 0., 0., 0.060695363056209706
2.16, 0.0, 0.0, 0., 0., 0., 0.05887410491626483
2.17, 0.0, 0.0, 0., 0., 0., 0.05682301032986003
2.18, 0.0, 0.0, 0., 0., 0., 0.054549988081998575
2.19, 0.0, 0.0, 0., 0., 0., 0.05206374182367608
2.2, 0.0, 0.0, 0., 0., 0., 0.04937374491170325
2.21, 0.0, 0.0, 0., 0., 0., 0.04649021464074983
2.22, 0.0, 0.0, 0., 0., 0., 0.0434240855938034
2.23, 0.0, 0.0, 0., 0., 0., 0.04018698177531144
2.24, 0.0, 0.0, 0., 0., 0., 0.03679118714226882
2.25, 0.0, 0.0, 0., 0., 0., 0.033249614114214704
2.2600000000000002, 0.0, 0.0, 0., 0., 0., 0.029575769625104734
2.27, 0.0, 0.0, 0., 0., 0., 0.025783718279781608
2.2800000000000002, 0.0, 0.0, 0., 0., 0., 0.02188804219639158
2.29, 0.0, 0.0, 0., 0., 0., 0.01790379715439161
2.3000000000000003, 0.0, 0.0, 0., 0., 0., 0.013846464725979639
2.31, 0.0, 0.0, 0., 0., 0., 0.00973190014653765
