# t, x, y, z, qx, qy, qz
0.0, 0.6666666421574411, -8.679523690686062e-05, 0., 0., 0., 0.00022580754704734906
0.01, 0.6666666360892092, -9.436993153716977e-05, 0., 0., 0., 0.0002085691971914809
0.02, 0.6666666288086627, -0.00010203474300463844, 0., 0., 0., 0.00018136038406231864
0.03, 0.666666620162383, -0.00010965062939973597, 0., 0., 0., 0.00014179367130820136
0.04, 0.6666666100078016, -0.00011703943260596665, 0., 0., 0., 8.706011682802684e-05
0.05, 0.6666665982273601, -0.0001239762852648563, 0., 0., 0., 1.3879082155409919e-05
0.06, 0.6666665847472998, -0.00013018084275529614, 0., 0., 0., -8.155127684564541e-05
0.07, 0.6666665695615442, -0.0001353072152884892, 0., 0., 0., -0.00020360058999125116
0.08, 0.6666665527606958, -0.00013893247824824095, 0., 0., 0., -0.0003572473665326565
0.09, 0.6666665345653617, -0.00014054364859347366, 0., 0., 0., -0.0005481119958521342
0.1, 0.6666665153616884, -0.00013952303374779128, 0., 0., 0., -0.0007824793795398076
0.11, 0.6666664957348617, -0.00013513188961462107, 0., 0., 0., -0.001067309700769046
0.12, 0.6666664764931547, -0.00012649236927012977, 0., 0., 0., -0.0014102370208522255
0.13, 0.6666664586704503, -0.00011256780694232948, 0., 0., 0., -0.001819556761838589
0.14, 0.666666443488591, -9.2141466749718e-05, 0., 0., 0., -0.00230420429898697
0.15, 0.666666432251847, -6.379399602923873e-05, 0., 0., 0., -0.0028737273709081653
0.16, 0.6666664261336117, -2.5879962329002737e-05, 0., 0., 0., -0.003538254419152781
0.17, 0.6666664257995264, 2.3495976014920957e-05, 0., 0., 0., -0.004308459158508899
0.18, 0.6666664307909563, 8.650251183073874e-05, 0., 0., 0., -0.005195518889022393
0.19, 0.66666643856773, 0.00016560375282926283, 0., 0., 0., -0.006211060841170287
0.2, 0.6666664430791969, 0.00026357864906347884, 0., 0., 0., -0.0073670878407617576
0.21, 0.6666664326985171, 0.00038353623378732866, 0., 0., 0., -0.008675872379609281
0.22, 0.6666663873180976, 0.0005289248184922684, 0., 0., 0., -0.010149806827706945
0.23, 0.6666662743669995, 0.0007035329692569422, 0., 0., 0., -0.011801197262971469
0.24, 0.6666660434784999, 0.0009114797881684083, 0., 0., 0., -0.013641988594451636
0.25, 0.6666656195145796, 0.001157191748524767, 0., 0., 0., -0.015683409358681007
0.26, 0.6666648936534955, 0.0014453631067956455, 0., 0., 0., -0.017935525431913645
0.27, 0.6666637122794153, 0.0017808967621287916, 0., 0., 0., -0.020406692986578545
0.28, 0.6666618634952577, 0.002168822384134429, 0., 0., 0., -0.02310290246728767
0.29, 0.6666590612301644, 0.0026141887168521748, 0., 0., 0., -0.026027007452816452
0.3, 0.6666549271520542, 0.0031219272359228655, 0., 0., 0., -0.02917783537714001
0.31, 0.6666489709435993, 0.0036966848447619618, 0., 0., 0., -0.03254918163100666
0.32, 0.6666405699725475, 0.004342624116933132, 0., 0., 0., -0.03612869499753537
0.33, 0.6666289499900521, 0.005063190813200775, 0., 0., 0., -0.03989667109574561
0.34, 0.6666131692103167, 0.005860850117646185, 0., 0., 0., -0.04382478180573496
0.35000000000000003, 0.6665921089189488, 0.006736795334923992, 0., 0., 0., -0.04787478259920095
0.36, 0.6665644745427939, 0.007690635724746985, 0., 0., 0., -0.05199725601623919
0.37, 0.6665288117570943, 0.008720073707059697, 0., 0., 0., -0.05613046742954339
0.38, 0.6664835425187761, 0.009820585729900638, 0., 0., 0., -0.060199427298974775
0.39, 0.6664270256637983, 0.010985125378353104, 0., 0., 0., -0.06411527020178907
0.4, 0.6663576456389906, 0.012203871361929894, 0., 0., 0., -0.06777507218803651
0.41000000000000003, 0.6662739308348555, 0.013464046207247482, 0., 0., 0., -0.07106223112185923
0.42, 0.6661746997248433, 0.014749833012151381, 0., 0., 0., -0.07384752613164813
0.43, 0.666059228693078, 0.01604241664463109, 0., 0., 0., -0.07599094930401629
0.44, 0.6659274303769877, 0.01732017155546967, 0., 0., 0., -0.07734436351621325
0.45, 0.6657800262704391, 0.01855901049253688, 0., 0., 0., -0.07775498566972495
0.46, 0.6656186931617434, 0.019732896953895556, 0., 0., 0., -0.07706962781984188
0.47000000000000003, 0.6654461608423441, 0.020814509985096562, 0., 0., 0., -0.07513955647225405
0.48, 0.6652662394253219, 0.021776034429107916, 0., 0., 0., -0.07182576175214453
0.49, 0.6650837591789588, 0.022590035078099487, 0., 0., 0., -0.06700437370447827
0.5, 0.6649044139564946, 0.02323036170626587, 0., 0., 0., -0.06057193237270983
0.51, 0.6647345102153598, 0.0236730258009874, 0., 0., 0., -0.052450218166048876
0.52, 0.66458063564053, 0.02389699033510249, 0., 0., 0., -0.0425903808644039
0.53, 0.6644492724415703, 0.023884821393542015, 0., 0., 0., -0.030976164679122207
0.54, 0.6643463884344913, 0.023623163893945927, 0., 0., 0., -0.017626102427960384
0.55, 0.6642770425396314, 0.023103020974441772, 0., 0., 0., -0.0025946294475716913
0.56, 0.664245039734493, 0.022319835206294825, 0., 0., 0., 0.014027868043225266
0.5700000000000001, 0.6642526642462956, 0.021273386942254117, 0., 0., 0., 0.03211601703885668
0.58, 0.6643005101833761, 0.019967538663927295, 0., 0., 0., 0.05151137386588895
0.59, 0.6643874177196203, 0.018409862842554872, 0., 0., 0., 0.07202525129793531
0.6, 0.6645105122348008, 0.01661119424884942, 0., 0., 0., 0.09344244726270252
0.61, 0.6646653349888283, 0.014585146356422614, 0., 0., 0., 0.11552588709412344
