"Time","max height (stats)","max volume (stats)"
0.001,0.1,77.0333
0.002,0.1,77.0333
0.003,0.1,77.0333
0.004,0.1,77.0333
0.005,0.1,77.0333
0.007862,0.1,77.0333
0.01922,0.1,77.0333
0.03922,0.1,77.0333
0.05922,0.1,77.0333
0.07922,0.1,77.0333
0.09922,0.1,77.0333
0.11922,0.1,77.0333
0.13922,0.1,77.0333
0.15922,0.1,77.0333
0.17922,0.1,77.0333
0.19922,0.1,77.0333
0.21922,0.1,77.0333
0.23922,0.1,77.0333
0.25922,0.1,77.0333
0.27922,0.1,77.0333
0.29922,0.1,77.0333
0.31922,0.099827,77.0332
0.33922,0.099307,77.0309
0.35922,0.098506,77.024
0.37922,0.097882,77.0141
0.39922,0.096925,77.0078
0.41922,0.095994,77.0113
0.43922,0.095213,77.026
0.45922,0.094694,77.0476
0.47922,0.09477,77.0686
0.49922,0.095324,77.0816
0.51922,0.096225,77.0819
0.53922,0.097583,77.0663
0.55922,0.099307,77.0336
0.57922,0.101188,76.9853
0.59922,0.103177,76.9256
0.61922,0.105192,76.8599
0.63922,0.107166,76.7945
0.65922,0.109033,76.7359
0.67922,0.110728,76.6898
0.69922,0.112138,76.6609
0.71922,0.113176,76.6519
0.73922,0.113722,76.6656
0.75922,0.113677,76.7007
0.77922,0.112974,76.7543
0.79922,0.111712,76.8202
0.816712,0.110104,76.8814
0.830355,0.108551,76.9269
0.842104,0.107031,76.9616
0.852925,0.105504,76.988
0.863283,0.103675,77.0065
0.873446,0.102081,77.017
0.8836,0.100441,77.0187
0.893898,0.09875,77.0107
0.904492,0.097003,76.9918
0.915551,0.095194,76.96
0.927293,0.093318,76.9127
0.938788,0.09155,76.8529
0.9501,0.089901,76.7826
0.961521,0.088347,76.703
0.973405,0.086868,76.6155
0.986218,0.08545,76.5211
1.0008,0.084085,76.4242
1.01864,0.082804,76.3385
1.03864,0.081932,76.3066
1.05864,0.081683,76.3587
1.07864,0.082143,76.493
1.09513,0.083166,76.6503
1.10769,0.084359,76.7843
1.11859,0.085637,76.9014
