"Time","max height (stats)","max volume (stats)"
0.001,0.1,77.0333
0.002,0.1,77.0333
0.003,0.1,77.0333
0.004,0.1,77.0333
0.005,0.1,77.0333
0.025,0.1,77.0333
0.045,0.1,77.0333
0.065,0.1,77.0333
0.085,0.1,77.0333
0.105,0.1,77.0333
0.125,0.1,77.0333
0.145,0.1,77.0333
0.165,0.1,77.0333
0.185,0.1,77.0333
0.205,0.1,77.0333
0.225,0.1,77.0333
0.245,0.1,77.0333
0.265,0.1,77.0333
0.285,0.1,77.0333
0.305,0.099982,77.0334
0.325,0.09966,77.0333
0.345,0.098964,77.0304
0.365,0.098013,77.0225
0.385,0.096958,77.0125
0.405,0.095954,77.0085
0.425,0.095139,77.0168
0.445,0.094717,77.0362
0.465,0.094708,77.0596
0.485,0.094968,77.0789
0.505,0.09562,77.0885
0.525,0.096615,77.0848
0.545,0.098127,77.0652
0.565,0.09985,77.0301
0.585,0.101702,76.9819
0.605,0.103659,76.9245
0.625,0.10563,76.8622
0.645,0.107559,76.8001
0.665,0.109433,76.7448
0.685,0.11104,76.7002
0.705,0.112422,76.6708
0.725,0.113403,76.6612
0.745,0.113837,76.6735
0.765,0.113621,76.7077
0.785,0.112705,76.7596
0.805,0.111094,76.8236
0.821512,0.109292,76.8792
0.835061,0.107609,76.9219
0.846802,0.106002,76.9532
0.857494,0.104448,76.9759
0.867568,0.102902,76.9904
0.877313,0.101348,76.997
0.886944,0.099771,76.9953
0.896639,0.098161,76.9846
0.90657,0.09651,76.964
0.916916,0.09483,76.932
0.927723,0.093112,76.8872
0.938855,0.091401,76.8312
0.950225,0.089738,76.7624
0.960976,0.088293,76.6893
0.971351,0.086996,76.6131
0.981554,0.085825,76.538
0.991877,0.084758,76.4639
1.00269,0.083781,76.3975
1.01461,0.082888,76.3461
1.0288,0.082097,76.3228
1.04826,0.081539,76.3615
1.06826,0.081691,76.4779
1.08653,0.082484,76.642
1.09715,0.083241,76.7533
1.10585,0.084025,76.8498
1.11357,0.084848,76.9356
1.12073,0.085722,77.0112
