Time,Displacement Z Node 48
2.88,9.68E-19
2.89,9.69E-19
2.9,9.70E-19
2.91,9.69E-19
2.92,9.68E-19
2.93,9.68E-19
2.94,9.67E-19
2.95,9.66E-19
2.96,9.67E-19
2.97,9.68E-19
2.98,9.68E-19
2.99,9.68E-19
3,9.67E-19
3.01,9.69E-19
3.02,9.72E-19
3.03,9.70E-19
3.04,9.68E-19
3.05,9.63E-19
3.06,9.60E-19
3.07,9.58E-19
3.08,9.54E-19
3.09,9.51E-19
3.1,9.49E-19
3.11,9.46E-19
3.12,9.43E-19
3.13,9.41E-19
3.14,9.40E-19
3.15,9.37E-19
3.16,9.33E-19
3.17,9.30E-19
3.18,9.29E-19
3.19,9.28E-19
3.2,9.23E-19
3.21,9.19E-19
3.22,9.16E-19
3.23,9.16E-19
3.24,9.15E-19
3.25,9.11E-19
3.26,9.08E-19
3.27,9.05E-19
3.28,9.02E-19
3.29,8.99E-19
3.3,8.92E-19
3.31,8.87E-19
3.32,8.82E-19
3.33,8.77E-19
3.34,8.73E-19
3.35,8.70E-19
3.36,8.65E-19
3.37,8.61E-19
3.38,8.59E-19
3.39,8.58E-19
3.4,8.58E-19
3.41,8.57E-19
3.42,8.55E-19
3.43,8.53E-19
3.44,8.49E-19
3.45,8.46E-19
3.46,8.42E-19
3.47,8.40E-19
3.48,8.37E-19
3.49,8.31E-19
3.5,8.27E-19
3.51,8.23E-19
3.52,8.19E-19
3.53,8.15E-19
3.54,8.10E-19
3.55,8.05E-19
3.56,8.01E-19
3.57,7.97E-19
3.58,7.91E-19
3.59,7.87E-19
3.6,7.81E-19
3.61,7.75E-19
3.62,7.73E-19
3.63,7.71E-19
3.64,7.69E-19
3.65,7.67E-19
3.66,7.60E-19
3.67,7.52E-19
3.68,7.47E-19
3.69,7.42E-19
3.7,7.34E-19
3.71,7.24E-19
3.72,7.16E-19
3.73,7.11E-19
3.74,7.07E-19
3.75,7.00E-19
3.76,6.93E-19
3.77,6.89E-19
3.78,6.83E-19
3.79,6.76E-19
3.8,6.68E-19
3.81,6.61E-19
3.82,6.55E-19
3.83,6.50E-19
3.84,6.41E-19
3.85,6.34E-19
3.86,6.29E-19
3.87,6.25E-19
3.88,6.20E-19
3.89,6.15E-19
3.9,6.11E-19
3.91,6.07E-19
3.92,6.01E-19
3.93,5.96E-19
3.94,5.91E-19
3.95,5.85E-19
3.96,5.78E-19
3.97,5.69E-19
3.98,5.63E-19
3.99,5.58E-19
4,5.54E-19
4.01,5.49E-19
4.02,5.44E-19
4.03,5.37E-19
4.04,5.30E-19
4.05,5.23E-19
4.06,5.17E-19
4.07,5.12E-19
4.08,5.07E-19
4.09,5.02E-19
4.1,4.99E-19
4.11,4.94E-19
4.12,4.88E-19
4.13,4.82E-19
4.14,4.77E-19
4.15,4.72E-19
4.16,4.69E-19
4.17,4.67E-19
4.18,4.66E-19
4.19,4.62E-19
4.2,4.55E-19
4.21,4.52E-19
4.22,4.48E-19
4.23,4.42E-19
4.24,4.37E-19
4.25,4.29E-19
4.26,4.21E-19
4.27,4.17E-19
4.28,4.10E-19
4.29,4.02E-19
4.3,3.95E-19
4.31,3.87E-19
4.32,3.76E-19
4.33,3.68E-19
4.34,3.61E-19
4.35,3.56E-19
4.36,3.51E-19
4.37,3.44E-19
4.38,3.38E-19
4.39,3.35E-19
4.4,3.29E-19
4.41,3.24E-19
4.42,3.20E-19
4.43,3.13E-19
4.44,3.06E-19
4.45,3.01E-19
4.46,2.95E-19
4.47,2.89E-19
4.48,2.81E-19
4.49,2.73E-19
4.5,2.67E-19
4.51,2.65E-19
4.52,2.61E-19
4.53,2.52E-19
4.54,2.42E-19
4.55,2.38E-19
4.56,2.34E-19
4.57,2.27E-19
4.58,2.19E-19
4.59,2.12E-19
4.6,2.04E-19
4.61,1.98E-19
4.62,1.95E-19
4.63,1.94E-19
4.64,1.92E-19
4.65,1.88E-19
4.66,1.83E-19
4.67,1.79E-19
4.68,1.74E-19
4.69,1.69E-19
4.7,1.64E-19
4.71,1.61E-19
4.72,1.56E-19
4.73,1.50E-19
4.74,1.42E-19
4.75,1.35E-19
4.76,1.33E-19
4.77,1.32E-19
4.78,1.26E-19
4.79,1.20E-19
4.8,1.16E-19
4.81,1.15E-19
4.82,1.12E-19
4.83,1.08E-19
4.84,1.08E-19
4.85,1.09E-19
4.86,1.08E-19
4.87,1.05E-19
4.88,1.04E-19
4.89,1.02E-19
4.9,9.61E-20
4.91,9.39E-20
4.92,9.35E-20
4.93,8.92E-20
4.94,8.32E-20
4.95,7.76E-20
4.96,7.01E-20
4.97,6.36E-20
4.98,5.83E-20
4.99,5.39E-20
5,5.22E-20
5.01,4.94E-20
5.02,4.40E-20
5.03,3.95E-20
5.04,3.39E-20
5.05,2.64E-20
5.06,2.23E-20
5.07,2.16E-20
5.08,2.01E-20
5.09,1.71E-20
5.1,1.50E-20
5.11,1.29E-20
5.12,7.48E-21
5.13,5.00E-21
5.14,1.04E-20
5.15,1.08E-20
5.16,5.09E-21
5.17,-1.01E-21
5.18,-9.63E-21
5.19,-1.61E-20
5.2,-1.87E-20
5.21,-2.06E-20
5.22,-2.29E-20
5.23,-2.54E-20
5.24,-3.05E-20
5.25,-3.46E-20
5.26,-3.67E-20
5.27,-3.87E-20
5.28,-3.74E-20
5.29,-3.25E-20
5.3,-2.75E-20
5.31,-2.57E-20
5.32,-2.61E-20
5.33,-2.41E-20
5.34,-2.03E-20
5.35,-2.01E-20
5.36,-2.09E-20
5.37,-1.81E-20
5.38,-1.75E-20
5.39,-2.08E-20
5.4,-2.46E-20
5.41,-2.59E-20
5.42,-2.44E-20
5.43,-2.34E-20
5.44,-2.04E-20
5.45,-1.38E-20
5.46,-8.24E-21
5.47,-7.70E-21
5.48,-9.24E-21
5.49,-1.22E-20
5.5,-1.38E-20
5.51,-1.07E-20
5.52,-6.54E-21
5.53,1.74E-22
5.54,8.36E-21
5.55,1.47E-20
5.56,1.97E-20
5.57,2.09E-20
5.58,2.13E-20
5.59,2.43E-20
5.6,2.83E-20
5.61,3.04E-20
5.62,3.18E-20
5.63,3.12E-20
5.64,2.82E-20
5.65,2.50E-20
5.66,2.28E-20
5.67,2.55E-20
5.68,2.80E-20
5.69,2.75E-20
5.7,2.99E-20
5.71,3.24E-20
5.72,2.99E-20
5.73,2.87E-20
5.74,3.12E-20
5.75,3.48E-20
5.76,3.81E-20
5.77,3.77E-20
5.78,3.58E-20
5.79,3.54E-20
5.8,3.50E-20
5.81,3.27E-20
5.82,3.15E-20
5.83,3.74E-20
5.84,4.68E-20
5.85,5.09E-20
5.86,4.76E-20
5.87,4.77E-20
5.88,5.71E-20
5.89,6.54E-20
5.9,6.55E-20
5.91,6.26E-20
5.92,6.49E-20
5.93,6.67E-20
5.94,6.76E-20
5.95,7.69E-20
5.96,8.84E-20
5.97,9.55E-20
5.98,1.02E-19
5.99,1.13E-19
6,1.23E-19
6.01,1.28E-19
6.02,1.31E-19
6.03,1.39E-19
6.04,1.48E-19
6.05,1.54E-19
6.06,1.58E-19
6.07,1.66E-19
6.08,1.75E-19
6.09,1.84E-19
6.1,1.93E-19
6.11,2.04E-19
6.12,2.17E-19
6.13,2.24E-19
6.14,2.23E-19
6.15,2.20E-19
6.16,2.22E-19
6.17,2.29E-19
6.18,2.38E-19
6.19,2.46E-19
6.2,2.53E-19
6.21,2.57E-19
6.22,2.58E-19
6.23,2.61E-19
6.24,2.69E-19
6.25,2.79E-19
6.26,2.80E-19
6.27,2.81E-19
6.28,2.87E-19
6.29,2.91E-19
6.3,2.92E-19
6.31,2.95E-19
6.32,3.01E-19
6.33,3.05E-19
6.34,3.09E-19
6.35,3.13E-19
6.36,3.13E-19
6.37,3.10E-19
6.38,3.08E-19
6.39,3.05E-19
6.4,3.05E-19
6.41,3.10E-19
6.42,3.13E-19
6.43,3.13E-19
6.44,3.14E-19
6.45,3.19E-19
6.46,3.28E-19
6.47,3.40E-19
6.48,3.49E-19
6.49,3.52E-19
6.5,3.52E-19
6.51,3.54E-19
6.52,3.60E-19
6.53,3.68E-19
6.54,3.75E-19
6.55,3.80E-19
6.56,3.84E-19
6.57,3.89E-19
6.58,4.01E-19
6.59,4.14E-19
6.6,4.23E-19
6.61,4.24E-19
6.62,4.28E-19
6.63,4.33E-19
6.64,4.38E-19
6.65,4.50E-19
6.66,4.61E-19
6.67,4.66E-19
6.68,4.74E-19
6.69,4.88E-19
6.7,4.99E-19
6.71,5.06E-19
6.72,5.18E-19
6.73,5.31E-19
6.74,5.42E-19
6.75,5.53E-19
6.76,5.62E-19
6.77,5.67E-19
6.78,5.71E-19
6.79,5.76E-19
6.8,5.82E-19
6.81,5.89E-19
6.82,5.99E-19
6.83,6.05E-19
6.84,6.07E-19
6.85,6.10E-19
6.86,6.10E-19
6.87,6.15E-19
6.88,6.22E-19
6.89,6.27E-19
6.9,6.31E-19
6.91,6.34E-19
6.92,6.37E-19
6.93,6.42E-19
6.94,6.49E-19
6.95,6.52E-19
6.96,6.51E-19
6.97,6.52E-19
6.98,6.57E-19
6.99,6.65E-19
7,6.66E-19
7.01,6.58E-19
7.02,6.53E-19
7.03,6.53E-19
7.04,6.54E-19
7.05,6.55E-19
7.06,6.50E-19
7.07,6.42E-19
7.08,6.43E-19
7.09,6.47E-19
7.1,6.51E-19
7.11,6.58E-19
7.12,6.64E-19
7.13,6.68E-19
7.14,6.73E-19
7.15,6.80E-19
7.16,6.90E-19
7.17,6.96E-19
7.18,6.97E-19
7.19,6.98E-19
7.2,7.02E-19
7.21,7.07E-19
7.22,7.19E-19
7.23,7.31E-19
7.24,7.35E-19
7.25,7.36E-19
7.26,7.38E-19
7.27,7.40E-19
7.28,7.44E-19
7.29,7.45E-19
7.3,7.43E-19
7.31,7.46E-19
7.32,7.52E-19
7.33,7.61E-19
7.34,7.72E-19
7.35,7.84E-19
7.36,7.97E-19
7.37,8.06E-19
7.38,8.15E-19
7.39,8.20E-19
7.4,8.21E-19
7.41,8.20E-19
7.42,8.24E-19
7.43,8.28E-19
7.44,8.32E-19
7.45,8.38E-19
7.46,8.44E-19
7.47,8.51E-19
7.48,8.58E-19
7.49,8.60E-19
7.5,8.58E-19
7.51,8.54E-19
7.52,8.48E-19
7.53,8.40E-19
7.54,8.34E-19
7.55,8.34E-19
7.56,8.36E-19
7.57,8.36E-19
7.58,8.42E-19
7.59,8.48E-19
7.6,8.48E-19
7.61,8.52E-19
7.62,8.50E-19
7.63,8.42E-19
7.64,8.35E-19
7.65,8.32E-19
7.66,8.29E-19
7.67,8.23E-19
7.68,8.17E-19
7.69,8.11E-19
7.7,8.10E-19
7.71,8.12E-19
